"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1040102773","Screw    M6×40-8.8","4","GB/T70.1-2000"
"2","1040300771","Washer    6-200HV","8","GB/T97.1-2002"
"3","00773200700001040","Bending mounting plate","2",""
"4","00773200700001030","Hose seat I","4",""
"5","00773200700001020","Hose seat","2",""
"6","1040102777","Screw    M4×50-8.8","2","GB/T70.1-2000"
"7","1040302410","Washer    4-200HV","8","GB/T97.1-2002"
"8","00773200700001050","Pipe jacking","4",""
"9","00773200700001010","Chain mechanism","1",""
"9a","1109901020","Chain bar 25000.09","36",""
"9b","1109901019","Chain sections 2500.09.075.0","32",""
"9c","1109901017","Joint link pin 24101.09.2","2",""
"9d","1109901018","Joint link hole 
  24101.09.1","2",""
"10","1040201772","Nut 
  M4-A2-70","4","GB/T6170-2000"
"11","1040100349","Screw    M4×45-8.8","2","GB/T70.1-2000"
"12","1040201865","Nut M6-8","4","GB/T6170-2000"
"13","1040004519","Bolt 
  M8×25-8.8","4","GB/T5783-2000"
"14","1040302480","Washer    8-200HV","6","GB/T96.1-2002"
"15","1040200503","Nut 
  M8-8","4","GB/T889.1-2000"
"16","00773200700001070","Support plate","1",""
