"No.","Material No.","Item and Spec","Qty","Note"
"31","02564400401400000","Pull rod","1",""
"32","02564400400001090","Axle A10","1",""
"33","02564400400001080","Axle A9","1",""
"34","1040004599","Bolt M8×60-8.8","8","GB/T5782"
"35","1040301515","Washer 8-200HV","10","GB/T97.1"
"36","02564400400001200","Stop plate Ⅱ","4",""
"37","02564400400001180","Clamp Ⅱ","2",""
"38","02564400400001190","Clamp Ⅲ","2",""
"39","02564400400600000","Link Ⅲ","1",""
"40","1040103111","Screw M8×16-8.8","4","GB/T70.1"
"41","02564400400001120","Guide block","2",""
"42","1040103115","Screw M8×65-8.8","2","GB/T70.1"
"43","02564400400001170","Stop plate Ⅰ","1",""
"44","02564400400001160","Clamp Ⅰ","1",""
"45","02564300401600000","Tower boom lifting cylinder","1",""
"46","00773400400001080","Bearing","1",""
"47","02564400400001070","Axle A7","1",""
"48","02564400400001100","Axle A10","1",""
"49","02564400400200000","Link Ⅰ","1",""
"50","02564400400001210","Locating pin","1",""
"51","02564400401200000","Lower upright","1",""
