"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","1140108469","Прямой соединитель","1",""
"2","1010306722","Главный клапан","1",""
"3","1140114187","Манометрический 
штуцер","1",""
"4","1040301510","Шайба 8-200HV","4","GB/T93"
"5","1040103112","Винт M8×25-8.8","4","GB/T70.1"
"6","1140101941","Прямой соединитель","6",""
"7","1140101462","Прямой соединитель","3",""
"8","1140101464","Прямой соединитель","1",""
"9","1140101489","Тройный композитный 
штуцер","2",""
"10","1140101809","Прямой переходник","1",""
"11","1019901008","Композитный штуцер","1",""
"12","1010306664","Обратный клапан","1",""
"13","1140101478","Прямоугольное 
композитное колено","1",""
"14","1140101629","Загл-ка","2",""
