"No.","Material No.","Spec and Item","Qty","Note"
"31","1040103112","Screw    M8×25-8.8","7","GB/T70.1"
"32","00773400100401040","Cushion block","1",""
"33","00773400130401060","Cushion block III","2",""
"34","1040201381","Nut M12-8","1","GB/T6170"
"35","1040006458","Strengthen cup head bolt   
 
M12×50-8.8 (Full thread)","1",""
"36","1040001703","Bolt M12×65-10.9","2","GB/T5782"
"37","1040302490","Washer 12-200HV","4","GB/T97.1"
"38","1040201163","Nut M12-10","2","GB/T889.1"
"39","1080000005","Oil cup M6×1","8",""
"40","1040004646","Bolt M10×15-8.8","4","GB/T5783"
"41","00773400130401090","Axle board","4",""
"42","02564400100401020","Axle","4",""
"43","02564400100401010","Linkage","1",""
"44","1054600077","Needle bearing","8",""
"45","00773400130401040","Cushion block I","8",""
"46","1040201111","Nut M24-10","1","GB/T889"
"47","1040301511","Washer 24-200HV","1","GB/T97.1"
"48","00773400100401030","Adjustable pad","2",""
"49","00773400130410000","Transition seat","1",""
"50","1040101978","Screw M12×30-10.9","12","GB/T70.1"
"51","1040007563","Bolt M24×290-10.9","1","GB/T5782"
"52","00773600130201010","Cushion block","1",""
"53","1040103173","Screw    M6×50-8.8","2",""
"54","00773400100230000","Swing gate","1",""
"55","1999904986","Document box 355×280×55","1",""
"56","1040102372","Hexagon socket cap screw   
 
M6×20-A2-70","4","GB/T70.1"
"57","1022397103","Open bellows","1",""
"58","/","Platform console","1",""
"59","/","Load cell","1",""
