"NO.","Material No.","Item and Spec","Units","Remark"
"11","00775807100601230","Mounting plate I","1",""
"12","00775807100601150","Plate IV","1",""
"13","00775807100601111","Water tank mounting plate","1",""
"14","1000300735","Expansion tank","1",""
"15","00775807100601160","Bending plate VI","1",""
"16","00775807100601190","Outlet tube I","1",""
"17","1990202287","Spiral turbine rod clamp","8",""
"18","00773407140601060","Connector I","1",""
"19","00775807100601180","Outlet tube","1",""
"20","00775807100601201","Water supply pipe","1",""
"21","1990202282","Turbine rod clamp","2",""
"22","00773407100601130","Sponge","1",""
"23","1000200483","Radiator assembly","1",""
"24","00773407140601040","Wet return I","1",""
"25","00773407140601070","Connector II","1",""
"26","00773407140601050","Wet return II","1",""
"27","1040200170","Nut M12-8","4","GB/T889-1986"
"28","1040302821","Washer 12","4","GB/T96.1-2002"
"29","1040002262","Bolt M12×55-10.9","4","GB/T5783-2000"
"30","00775807100601070","Bending plate III","1",""
"31","00773407100601140","Base plate","6",""
"32","1040302490","Washer 12","4","GB/T97.1-2002"
"33","00775807101001061","Exhaust pipe I (KUBOTA 
V2403-M-DI-ET04)","1",""
"","00775807111001010","Exhaust pipe I (KUBOTA 
V2403 -CR-EW02)","1",""
"","00775807101001080","Exhaust pipe  (KUBOTA 
V2403-M-DI-E3B-ZML4T)","1","2023.10 Modify"
"34","00773407151001060","Sealing spacer (KUBOTA 
V2403-M-DI-ET04/ V2403-
M-DI-E3B-ZML4T)","1","2023.10 Modify"
